sentence	question	label
S0: the earth to the moon, the moon to the earth; So, one way that the moon is different from earth is that the moon has almost no atmosphere.	Is S0 true or false?	1
S0: muscles and motor mechanisms; So, muscle groups are controlled by the motor cortex .	Is S0 true or false?	1
S0: A front is the boundary between two different air masses. So, in weather terms, the boundary between two air masses is called front.	Is S0 true or false?	0
S0: Saturated fat is not associated with cardiovascular disease. So, high consumption of saturated fats is linked to an increased risk of cardiovascular disease.	Is S0 true or false?	1
S0: Mercury is a silver-white metal that is liquid at room temperature. So, mercury is not a solid even at room temperature.	Is S0 true or false?	0
S0: Mercury Mercury, symbol Hg, is the only metal that is a liquid at room temperature. So, mercury is the one metal that melts below room temperature.	Is S0 true or false?	0
S0: SUGGESTIONS List Size Limit A list size that is too small to display all the significant hits is a common problem. So, all cells have the small size in common.	Is S0 true or false?	1
S0: Experiments chosen from the areas of electromagnetic waves, optics and modern physics. So, optics explains the behavior of visible light and electromagnetic waves.	Is S0 true or false?	1
S0: CENTRIPETAL FORCE The force required to keep an object moving in a curved or circular path. So, centripetal forces cause objects to turn around continuously in a circle.	Is S0 true or false?	0
S0: Ion channels permit water soluble molecules and ions to cross the plasma membrane. So, ion channels facilitate(s) the diffusion of ions across a membrane.	Is S0 true or false?	0
S0: An oxygen atom gains two electrons to form the oxide ion . So, monatomic ions form when a single atom gains or loses electrons.	Is S0 true or false?	1
S0: At the beginning of last semester, chemistry was defined as the study of matter and the changes it undergoes. So, chemistry is defined as the study of matter.	Is S0 true or false?	0
S0: The soldier send signals to the general and the body responds as needed. So, hormones send signals through your body.	Is S0 true or false?	1
S0: This is how the sun heats the earth. So, heat travels from the sun to the earth thermal radiation from the sun.	Is S0 true or false?	1
S0: The primary organ for excretion is the kidney which releases waste in the form of urine. So, urine is the term for liquid waste formed by kidneys.	Is S0 true or false?	0
S0: Blood vessels, lymph vessels, and nerves enter and leave the kidneys at the hilus. So, lymph vessels are like blood vessels, except they move lymph instead of blood.	Is S0 true or false?	1
S0: Finally, the solid waste passes out of your body through the anus as feces. So, solid waste is eliminated from the body through the anus.	Is S0 true or false?	0
S0: A geyser is a hot spring of water superheated by magma. So, when water is heated by magma and makes its way to the surface and creates a(n) geyser.	Is S0 true or false?	0
S0: The hydrogen atom has one proton and one electron, but no neutron. So, there are one electrons in the hydrogen atom.	Is S0 true or false?	0
S0: Molluscs have a three-chambered heart . So, there are three chambers in an amphibian heart.	Is S0 true or false?	1
S0: PH pH is a measure of how acidic or alkaline a solution is. So, the acidity of a solution is typically assessed experimentally by measurement of its ph.	Is S0 true or false?	0
S0: mouth - the first part of the digestive system, where food enters the body. So, the mouth is the first digestive organ that food enters.	Is S0 true or false?	0
S0: Just like the sun is the center of the solar system, so the self is the center of personality. So, the sun is the center of our solar system.	Is S0 true or false?	0
S0: The Pioneer Academy curriculum focuses on studies of science, mathematics, cultural studies and language. So, the field of study known as mathematics is called the language of science.	Is S0 true or false?	1
S0: Infiltration occurs when precipitation seeps into the ground. So, water seeping into the ground is known as infiltration.	Is S0 true or false?	0
S0: The centripetal acceleration is caused by a centripetal force that directs to the center of the object. So, centripetal force is the force that causes centripetal acceleration.	Is S0 true or false?	0
S0: We can measure radioactivity with the Geiger counter. So, the 'counting' instrument geiger counter is used to measure radioactivity.	Is S0 true or false?	0
S0: cleavage The process of cytokinesis in animal cells, characterized by pinching of the plasma membrane; So, a plasma membrane encloses the border of animal cells.	Is S0 true or false?	1
S0: The properties of the image formed by a plane mirror So, plane mirrors work because the light rays create a virtual image behind the mirror.	Is S0 true or false?	1
S0: Most birds have four toes. So, birds have four limbs.	Is S0 true or false?	1
S0: kinetic energy the energy of motion. So, kinetic engergy is the energy of anything in motion.	Is S0 true or false?	0
S0: Fluid motion caused by an external force such as gravity. So, gravity causes rocks to roll downhill.	Is S0 true or false?	1
S0: Carbohydrates are most commonly stored as glycogen in humans. So, carbohydrates are the most common type of organic compound.	Is S0 true or false?	1
S0: synapse A specialized junction at which a neural cell (neuron) communicates with a target cell. So, synapse is the term for a connection between a neuron and its target cell.	Is S0 true or false?	0
S0: From Birth to Adulthood For the first year after birth, a baby is called an infant. So, during the first year after birth, a baby called a(n) infant.	Is S0 true or false?	0
S0: These drugs have a bitter taste. So, bases normally have a bitter taste.	Is S0 true or false?	1
S0: Her favorite animals are dogs, otters and sea lions. So, sea otters are known for being playful and frisky.	Is S0 true or false?	1
S0: The flowers of many species are wind pollinated; So, flowers pollinated by wind generally lack brightly colored parts.	Is S0 true or false?	1
S0: There are about 50 different species of octopus living in all the oceans of the world. So, the majority of species live in the ocean.	Is S0 true or false?	1
S0: Viruses are among the smallest biological entities. So, viruses are the most abundant type of biological entity on the earth.	Is S0 true or false?	1
S0: Usually, Ladybugs live about three to four weeks. So, there are four to six weeks are in the life cycle of ladybugs.	Is S0 true or false?	1
S0: Next type of phase is liquids, liquids have no definite shape and they do have a definite volume. So, liquid has a definite volume, but not a definite shape.	Is S0 true or false?	0
S0: Further data for radioisotopes (radioactive isotopes) of copper are listed (including any which occur naturally) below. So, a(n) radioisotopes is an isotope that is radioactive.	Is S0 true or false?	0
S0: Describe the mitochondrion and its role in aerobic respiration. So, the structure of mitochondrion plays an important role in aerobic respiration.	Is S0 true or false?	1
S0: Other scientists concluded that all living things are made of cells and that living cells arise only from preexisting cells. So, cells come from preexisting cells.	Is S0 true or false?	0
S0: Ecosystem processes, nutrient and organic matter cycling; So, a primary role of decomposers in an ecosystem is that they cycle matter by returning carbon and other matter to the ecosystem.	Is S0 true or false?	1
S0: But the neutron is a subatomic particle which has more than an entire atom inside of it. So, the number of neutrons can vary between atoms of the same element.	Is S0 true or false?	1
S0: Rodents in this group include mice, rats, and pocket gophers. So, the name of the group that rats are a part of is rodents.	Is S0 true or false?	0
S0: Identify an element as being composed of only one type of atom. So, you call elements that contain only atoms of one type of element native elements.	Is S0 true or false?	1
S0: Some fruits, such as the pumpkin, receive over 0.5 gram of food each day through the phloem. So, a pumpkin is a fruit.	Is S0 true or false?	0
S0: A radio wave of any frequency can have different signal types. So, am radio waves exist in the 540 to 1600 khz frequency range.	Is S0 true or false?	1
S0: Under most conditions, the air temperature decreases as altitude increases. So, air temperature changes as altitude increases.	Is S0 true or false?	0
S0: Venus was the second most favorable of the planets. So, venus has the most volcanoes.	Is S0 true or false?	1
S0: Anything that is not empty space itself is comprised of these two. So, the nucleus is comprised primarily of empty space.	Is S0 true or false?	1
S0: The Different Types of Heterogeneous Mixtures So, heterogeneous is the term for a mixture that varies in its composition.	Is S0 true or false?	1
S0: Integration of groundwater and surface water use. So, when the ground absorbs the water and it settles below the surface it is called groundwater.	Is S0 true or false?	1
S0: A cytokine is a cell-signaling protein molecule. So, proteins are complex organic molecules that make up cells.	Is S0 true or false?	1
S0: The core is the innermost 30% of the Sun by radius, and is where the nuclear reactions that power the Sun occur. So, the core is the sun's innermost layer.	Is S0 true or false?	0
S0: The prokaryote domains are Bacteria and Archaea (see Figure 13.2). So, bacteria and archaea are examples of prokaryotes.	Is S0 true or false?	0
S0: Describe So, temperature and sky conditions are both used to describe weather.	Is S0 true or false?	1
S0: it occupies huge volumes of space; So, volume is a measure of the amount of space that a substance or an object occupies.	Is S0 true or false?	1
S0: It takes Pluto 247.7 Earth years to make one revolution around the Sun. So, earth makes a complete revolution around the sun about once every year.	Is S0 true or false?	1
S0: Work (or energy) is equal to force times distance. So, force times distance is the equation for work.	Is S0 true or false?	0
S0: compound, molecule, ion, ionic bond, covalent bond, polar covalent bond, hydrogen bond, oxidation, reduction Water Is Essential to Life (p. 34) 7. So, hydrogen chloride is a covalent compound.	Is S0 true or false?	1
S0: All mammals have four limbs. So, birds have four limbs.	Is S0 true or false?	1
S0: Many important metal ores are sulfides. So, metals start out as ore.	Is S0 true or false?	1
S0: Voltage The amount of force or pressure pushing an electric current through a circuit. So, pressure is defined in physics as the amount of force pushing against a given area.	Is S0 true or false?	1
S0: Humus is compost, the decayed remains of plants, animal wastes, and even animals. So, the decayed remains of living organisms is called humus.	Is S0 true or false?	0
S0: Those taking Rosavin had a 56% decrease in errors for four hours. So, you decrease errors in an experiment by take many measurements.	Is S0 true or false?	1
S0: opaque A substance that does not allow light to pass through it. So, opaque is the term for matter that does not let any light pass through.	Is S0 true or false?	0
S0: An achaeal iron-oxidizing acidophile important in acid mine drainage. So, organisms that "love" acids are known as acidophiles	Is S0 true or false?	1
S0: Electric insulation materials. So, you call materials that have high resistance to electric current electric insulators.	Is S0 true or false?	1
S0: Luminescence is emission of light by a substance not resulting from heat. So, producing light without heat is called luminescence.	Is S0 true or false?	0
S0: rain Particles of liquid water that have become too large to be held by the atmosphere. So, rain is an example of liquid water.	Is S0 true or false?	0
S0: Calculate elastic potential elastic potential energy. So, changing the shape of an elastic material gives it potential energy.	Is S0 true or false?	1
